,AGE,MONTHLY_INCOME_WHITHOUT_TAX,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_INTEREST_RATE
count,1412.0,1402.0,1412.0,1412.0,1412.0
mean,33.66643059490085,730195.9582234686,881278.5717492917,446515.5807365439,5.12764054532578
std,7.171577928598851,22385106.027363267,838376.5278928891,415384.2914798753,0.9545456646661123
min,18.0,0.0,118165.0,60000.0,1.8978
25%,28.0,6000.0,450974.25,260000.0,4.158
50%,33.0,8500.0,701432.0,360000.0,5.049
75%,38.0,15000.0,1023007.05,500000.0,6.0435
max,67.0,833333333.3,12230958.96,7120000.0,8.6928
