ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
129,1,3,1,0,0,1,1,0,4,3,0
130,0,3,1,0,0,1,4,0,4,0,0
131,0,3,0,0,0,1,1,0,4,0,0
132,0,3,0,0,0,1,4,0,4,0,0
133,1,3,0,3,0,0,1,0,4,1,0
134,1,3,0,0,0,1,1,0,4,4,0
135,1,3,0,0,0,1,4,1,4,3,0
136,0,3,1,3,0,0,1,0,4,0,1
137,1,3,1,3,0,1,4,2,4,4,1
138,0,3,0,3,0,1,4,0,4,0,0
139,1,1,0,3,0,1,1,0,4,3,0
140,0,1,0,3,0,0,1,0,4,2,0
141,0,1,1,3,0,1,1,0,4,4,0
142,1,1,0,2,0,0,0,1,4,1,0
143,0,1,1,3,0,1,0,2,4,0,0
144,0,1,1,0,0,1,4,0,4,4,0
145,0,1,1,3,0,1,4,2,4,0,1
146,1,1,1,3,0,0,1,0,4,1,0
147,0,1,1,3,0,1,4,0,4,0,1
148,0,1,1,3,0,1,4,0,4,4,0
149,0,1,0,2,0,1,4,0,4,0,0
150,1,1,1,3,0,1,1,0,4,1,0
151,1,1,1,0,0,1,1,0,4,1,0
152,1,1,1,3,0,0,1,0,4,1,0
153,0,1,0,2,0,1,1,0,4,0,0
154,0,1,1,0,0,1,4,2,4,0,0
155,1,1,0,0,0,1,1,0,4,3,0
156,0,1,0,2,0,1,4,2,4,4,1
157,1,1,0,0,0,1,1,2,4,1,0
158,0,1,0,3,0,1,1,0,4,0,1
159,1,1,1,0,0,0,1,0,4,1,0
160,0,1,0,0,0,0,1,0,4,0,0
161,0,1,0,0,0,1,4,2,4,0,1
162,1,1,1,3,0,1,4,2,4,1,1
163,1,1,1,3,0,1,1,0,4,3,0
164,0,1,0,3,0,1,1,0,4,4,0
165,0,1,1,0,0,1,4,2,4,4,0
166,0,1,0,0,0,1,1,0,4,0,1
167,1,1,0,0,0,0,1,0,4,2,1
168,0,1,1,0,0,0,4,0,4,4,0
169,1,1,0,2,0,0,1,0,4,1,1
170,1,1,1,0,0,1,1,2,4,1,0
171,1,1,0,3,0,0,1,0,4,2,0
172,0,1,1,3,0,0,0,0,4,0,1
173,0,1,1,3,0,1,4,0,4,0,1
174,0,1,1,3,0,0,4,0,4,0,0
